id,name,serving,unit,calories,protein,carbs,fat,source,brand,altUnits,gPerBaseU,tag
81,Protein Powder - Chocolate - Whey Protein,1,scoop,120,24,4,1.5,,,,,
82,Protein Powder - Vanilla IC - Whey Protein,1,scoop,120,24,4,1.5,,,,,
83,Protein Powder - Peanut Butter - Isoflex,1,scoop,120,27,2,1,,,,,
84,Quinoa - Tri-color - HEB,1,cup,640,24,120,12,,,,,
85,Ramen - Beef - Top Ramen,1,packet,380,9,54,14,,,,,
86,Ramen - Chicken - Top Ramen,1,packet,380,9,52,14,,,,,
87,Rice - Brown Long Grain - HEB,1,cup,680,12,136,8,,,,,
88,Rice - White Long Grain - HEB,1,cup,640,12,144,0,,,,,
89,Rice Cake - Caramel - Quaker,1,x,50,0,11,0,,,,,
90,Rice Cake - saled,1,x,35,1,7,0,,,,,
91,Rice Krispies - Mini Squares,1,x,45,0,8,1,,,,,
92,Salmon - Atlantic Fillet - HEB,1,oz,60,5.75,0,3.75,,,g,,
93,Sardines - in Water - Chicken of the Sea,1,can,120,11,0,8,,,,,
94,Sauce - Alfredo Black Truffle - Carbone,1,cup,440,12,8,40,,,,,
95,Sauce - Alfredo Roasted Garlic - Carbone,1,cup,400,3,2,9,,,,,
96,Sauce - Marinara Tomato - Yo Mama's,1,cup,120,2,10,9,,,,,
97,Schlotzskys - Deluxe Original Sandwich Medium,1,x,890,61,74,40,,,,,
98,Schlotzskys - Original Sandwich Medium,1,x,800,47,72,37,,,,,
99,Shrimp - Bowers Homegrown,1,oz,23,5,0,0.15,,,g,,
100,Shrimp - Gulf Large Raw Peeled - HEB,1,oz,18,4,0,0,,,g,,
101,Soy Sauce - Kikkoman,1,tbsp,10,2,1,0,,,,,
102,Sriracha Mayo - Lee Kum Kee,1,tbsp,60,0,2,6,,,,,
103,Stir Fry - Teriykai Beef,1,cup,380,9,56,13,,,,,
104,Subway - BMT,1,sub,1220,54,88,72,,,,,
105,Subway - Cookie Macadamia,1,x,215,2,27,10,,,,,
106,Subway - Oven-Roasted Turkey (Mayo > Mustard),1,sub,780,52,86,24,,,,,
107,Subway - Seasoned Steak Avo Sub,1,sub,920,70,90,32,,,,,
108,Subway - Sweet Onion Chicken Teriyaki,1,sub,860,58,110,22,,,,,
109,Subway - Black Forest Ham,1,sub,980,50,88,46,,,,,
110,Sweet Potato,1,oz,24,0.4,5.6,0,,,g,,
111,Tilapia - Fillets Lemon Pepper - HEB,1,oz,28,5.5,0.25,0.5,,,g,,
112,Tortilla Wheat - HEB,1,x,100,3,17,2.5,,,,,
113,Tropical Punch 15g - Chobani,1,x,120,15,9,2,,,,,
114,Tuna - Chunk Light - HEB,1,can,100,23,0,0.5,,,,,
115,Tuna - Chunk Light in Water - StarKist,1,can,90,20,0,0.5,,,,,
116,Tuna - Light in Water - Bumble Bee,1,can,120,24,3,1.5,,,,,
117,Turkey Breast Sliced - Oven Roasted - HEB,1,slice,25,4.5,0.5,0.5,,,,,
118,Vegetables - Mixed- HEB,100,g,71,2.5,13,0,,,,,
119,Vegetables - Stir Fry Medley Mixed - HEB,100,g,35,2.4,8,0,,,,,
120,Yogurt - Yoplait,1,cup,140,5,26,1.5,,,,,
121,Zucchini,1,oz,5,0.4,0.9,0,,,g,,
122,Lemon Juice,1,tbsp,0,0,0,0,,,,,
123,Maamoul,1,pc,170,2,24,8,,,,,
124,Cliff Bar White Chocolate Macadamia Nut,1,bar,260,9,42,7,,,,,
125,Beef Jerky - Original - JL,1,pck,100,13,8,2,,,,,
126,Chobani - 20g,1,cup,140,20,8,3,,,,,
127,Arabic Bread - Pita Pocket,1,pc,106,4,22,0,,,,,
128,Puck Cream Cheese,1,tbsp,45,1.5,0.5,4,,,,,
129,Chicken & Beef Mortadelle - Zwan,1,oz,55,3.5,1.5,4,,,g,,
130,Hummus - Baraka,1,oz,20,0,2,1,,,g,,
131,Rice Crisps Caramel - Quaker,1,pc,7,0.06,1.56,0.06,,,,,
132,Rice Crisps Apple Cinnamon - Quaker,1,pc,7,0.06,1.56,0.03,,,,,
133,Granola - Qatar,1,cup,810,24,114,30,,,,,
134,Dates,1,pc,41,0.24,9.8,0.14,,,,,
135,Chips - Sour Cream - Baked HEB,100,g,393,7.14,78.54,7.14,,,,,
136,Chips - BBQ - Baked HEB,100,g,393,7.14,78.54,7.14,,,,,
137,Sourdough - The Rustik Oven,1,slice,170,7,32,1.5,,,,,
138,Caramelized Onion - Fresh & Simple,1,pack,840,30,126,27,,,,,
139,Vanilla Protein Shake 42g - Core Power,1,pc,230,42,8,3.5,,,,,
140,Pasta Barilla tri-color rotini,100,g,357,12.5,75,1.8,,,,,
